AA,aa_ah_ax_01,100
AE,aa_ah_ax_01,100
AH,aa_ah_ax_01,100
AO,ao_03,100
AW,aw_09,100
AY,ay_11,100
B,p_b_m_21,100
CH,sh_ch_jh_zh_16,100
D,d_t_n_19,100
DH,th_dh_17,100
EH,ey_eh_uh_04,100
ER,er_05,100
EY,ey_eh_uh_04,100
F,f_v_18,100
G,k_g_ng_20,100
HH,h_12,100
IH,y_iy_ih_ix_06,100
IY,y_iy_ih_ix_06,100
JH,y_iy_ih_ix_06,100
K,k_g_ng_20,100
L,l_14,100
M,p_b_m_21,100
N,d_t_n_19,100
NG,k_g_ng_20,100
OW,ow_08,100
OY,oy_10,100
P,p_b_m_21,100
R,r_13,100
S,s_z_15,100
SH,sh_ch_jh_zh_16,100
T,d_t_n_19,100
TH,th_dh_17,100
UH,ey_eh_uh_04,100
UW,w_uw_07,100
V,f_v_18,100
W,w_uw_07,100
Y,y_iy_ih_ix_06,100
Z,s_z_15,100
ZH,sh_ch_jh_zh_16,100